speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,qualification,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,maoriProf,maoriExpo,maoriAttitude,workerId
1,1,1,no,30-39,M,Non M,Yes,north,No,Auckland,graduate,4,4,No,5,Waikato,short,English,NZ,None,No,No,None,5,5,2,8,10,131
1,1,1,no,18-29,F,Non M,Yes,north,No,Waikato,high,5,4,No,7,Waikato,short,English,NZ,None,No,No,None,4,5,2,9,9,132
1,1,1,no,18-29,F,Non M,No,south,No,Canterbury,high,4,4,Yes,7,Canterbury,long,English,Other,None,No,No,None,5,5,2,8,10,133
1,1,0,no,50-59,M,Non M,Yes,north,No,Manawatu,high,4,2,No,3,Wellington,short,English,NZ,None,No,No,None,5,4,2,6,9,134
1,1,0,no,60,F,Non M,Yes,north,No,Auckland,high,5,2,No,4,Auckland,long,NonEnglish,NZ,None,No,No,None,5,4,2,7,9,135
1,1,0,no,30-39,M,Non M,Yes,north,No,Auckland,high,2,2,No,2,Auckland,long,English,NZ,None,No,No,None,5,5,2,4,10,136
1,0,0,no,30-39,F,Non M,Yes,north,No,Auckland,high,5,3,Yes,7,Auckland,short,English,NZ,prt,No,No,None,5,5,1,8,10,137
2,2,0,no,50-59,F,Non M,No,south,No,West Coast,high,2,5,No,3,West Coast,long,English,Other,None,No,No,None,5,5,4,7,10,138
1,1,0,no,40-49,F,Non M,Yes,north,No,Auckland,graduate,5,4,No,8,Northland,long,English,NZ,None,No,No,None,4,4,2,9,8,139
1,2,0,no,60,F,Non M,Yes,south,No,Canterbury,undergraduate,3,3,No,5,Canterbury,long,English,NZ,None,No,No,None,5,5,3,6,10,140
1,1,1,no,40-49,F,Non M,Yes,north,No,Auckland,high,5,5,Yes,8,Auckland,long,English,NZ,None,No,No,None,5,5,2,10,10,141
1,1,0,lang,60,F,Non M,Yes,north,No,Wairarapa,graduate,5,3,No,6,Wairarapa,long,English,NZ,"fra,ita",No,No,None,5,5,2,8,10,142
2,3,4,yes,40-49,F,Non M,Yes,north,No,Wellington,graduate,5,5,No,8,Wellington,long,English,NZ,fra,No,No,None,5,5,5,10,10,144
1,1,0,no,18-29,M,Non M,No,north,No,Otago,graduate,5,5,No,5,West Coast,short,English,NZ,None,No,No,None,5,4,2,10,9,146
2,2,1,no,18-29,F,Non M,Yes,north,No,Northland,high,4,3,No,6,Auckland,short,English,NZ,None,No,No,None,3,1,4,7,4,147
1,2,2,no,30-39,F,M,Yes,south,No,Canterbury,undergraduate,3,5,Yes,9,Canterbury,long,English,NZ,None,No,No,None,3,4,3,8,7,148
1,1,1,no,60,F,Non M,Yes,north,No,Auckland,graduate,5,5,No,9,Auckland,long,English,NZ,fra,No,No,None,5,5,2,10,10,150
1,0,0,no,18-29,F,Non M,Yes,north,No,Waikato,high,2,1,Yes,5,Waikato,long,English,NZ,None,No,No,None,5,5,1,3,10,151
0,0,1,no,30-39,F,M,Yes,north,No,Bay of Plenty,high,3,5,Yes,1,Bay of Plenty,long,English,NZ,None,No,No,None,5,3,0,8,8,152
1,1,0,no,40-49,M,Non M,Yes,equal,No,Canterbury,high,5,3,Yes,8,Wairarapa,long,English,NZ,None,No,No,None,5,5,2,8,10,153
1,1,0,no,60,F,Non M,No,north,No,Hawke's Bay,graduate,5,4,No,6,Hawke's Bay,short,English,Other,None,No,No,None,4,4,2,9,8,154
2,2,3,no,30-39,F,Non M,Yes,north,No,Wellington,graduate,4,5,No,9,Wellington,long,English,NZ,None,No,No,None,5,5,4,9,10,155
2,2,2,lang,30-39,M,Non M,Yes,north,No,Wellington,graduate,4,5,No,9,Wellington,long,English,NZ,fra,No,No,None,5,5,4,9,10,156
1,1,0,no,40-49,M,Non M,Yes,north,No,Auckland,high,4,5,Yes,4,Auckland,long,English,NZ,None,No,No,None,5,5,2,9,10,157
1,1,1,lang,18-29,NS,NS,Yes,north,No,Auckland,undergraduate,3,3,Yes,6,Auckland,long,English,NZ,None,No,No,None,5,4,2,6,9,158
1,1,0,no,18-29,F,M,Yes,equal,No,Auckland,undergraduate,4,2,No,3,Auckland,short,English,NZ,None,No,No,None,4,3,2,6,7,159
1,2,2,no,30-39,M,M,Yes,north,No,Bay of Plenty,high,5,5,Yes,9,Bay of Plenty,long,English,NZ,None,No,No,None,5,5,3,10,10,161
1,1,2,no,18-29,F,M,Yes,north,No,Auckland,high,5,5,Yes,9,Auckland,long,English,NZ,None,No,No,None,5,5,2,10,10,163
1,2,1,no,30-39,F,Non M,Yes,north,No,Waikato,high,1,1,Yes,4,Waikato,long,English,NZ,None,No,No,None,5,5,3,2,10,164
2,2,2,lang,30-39,F,Non M,Yes,south,Yes,Auckland,graduate,5,5,Yes,8,Auckland,short,English,NZ,kor,No,No,None,5,5,4,10,10,165
1,1,0,no,40-49,F,Non M,Yes,south,No,Canterbury,graduate,4,3,Yes,9,Canterbury,long,English,NZ,None,No,No,None,5,5,2,7,10,166
1,1,0,no,50-59,F,Non M,Yes,south,No,Canterbury,graduate,5,4,No,7,Canterbury,long,English,NZ,None,No,No,None,5,5,2,9,10,167
1,1,0,lang,18-29,F,Non M,Yes,north,No,Hawke's Bay,undergraduate,3,2,No,6,Auckland,short,English,NZ,jpn,No,No,None,5,5,2,5,10,169
1,1,1,lang,18-29,M,Non M,No,north,No,Waikato,undergraduate,4,2,No,3,Waikato,long,English,Other,None,No,No,None,4,3,2,6,7,170
2,1,0,no,18-29,F,Non M,Yes,north,No,Auckland,undergraduate,5,5,No,6,Wellington,short,English,NZ,None,No,No,None,5,5,3,10,10,171
1,2,1,no,40-49,F,Non M,Yes,north,No,Auckland,graduate,5,2,Yes,8,Northland,long,English,NZ,None,No,No,None,5,5,3,7,10,174
1,1,0,no,50-59,F,Non M,Yes,north,No,Taranaki,high,4,5,No,6,Taranaki,long,English,NZ,None,No,No,None,5,5,2,9,10,175
1,1,1,no,18-29,F,Non M,Yes,north,No,Auckland,graduate,4,2,No,7,Auckland,long,English,NZ,fra,No,No,None,5,4,2,6,9,176
1,2,0,no,18-29,NB,Non M,Yes,north,No,Wellington,undergraduate,5,4,No,7,Wellington,long,English,NZ,None,No,No,None,5,5,3,9,10,178
0,0,2,lang,18-29,F,Non M,Yes,north,No,Auckland,high,1,1,No,0,Wellington,short,English,NZ,None,No,No,None,5,5,0,2,10,179
2,3,2,no,18-29,M,Non M,Yes,north,No,Waikato,undergraduate,5,3,No,9,Canterbury,short,English,NZ,None,No,No,None,5,5,5,8,10,180
1,1,1,no,18-29,F,Non M,Yes,north,Yes,Auckland,undergraduate,4,1,No,4,Auckland,long,English,NZ,cmn,No,No,None,4,4,2,5,8,181
1,1,2,no,40-49,F,Non M,Yes,north,No,Waikato,undergraduate,2,3,No,4,Waikato,long,English,NZ,None,No,No,None,5,4,2,5,9,182
1,1,1,no,18-29,M,Non M,Yes,south,No,Canterbury,graduate,4,2,No,6,Canterbury,long,English,NZ,None,No,No,None,5,5,2,6,10,183
